about,про
emotion,емоція
emotional,емоційний
emphasis,акцент
emphasize,підкреслювати
emphasizing,підкреслення
employ,наймати
employing,найм
employer,роботодавець
employment,зайнятість
empty,порожній
emptying,спорожнення
enable,дозволяти
enabling,увімкнення
encounter,зустріч
encountering,зустріч
encourage,заохочувати
encouraging,заохочення
ending,закінчення
enemy,ворог
engage,залучати
engaging,залучення
engine,двигун
engineer,інженер
engineering,інженерія
English,англійська
enhance,покращувати
enhancing,покращення
enjoying,насолода
enormous,величезний
ensure,забезпечувати
ensuring,забезпечення
entering,вхід
enterprise,підприємство
entertain,розважати
entertaining,розважальний
entertainment,розвага
entirely,повністю
entitle,мати право
entitling,надання права
entity,сутність
entry,вхід
episode,епізод
equal,рівний
equally,рівною мірою
equipment,обладнання
era,ера
error,помилка
escape,втеча
escaping,втеча
essay,есе
essential,істотний
establishing,встановлення
establishment,установа
estate,нерухомість
estimate,оцінка
estimating,оцінка
ethnic,етнічний
European,європейський
evaluate,оцінювати
evaluating,оцінка
evaluation,оцінка
eventually,врешті-решт
everybody,всі
everyday,щоденний
everywhere,скрізь
evidance,докази
evident,очевидний
evil,зло
exact,точний
exam,іспит
examination,дослідження
examine,досліджувати
examining,дослідження
exceed,перевищувати
exceeding,перевищення
excellent,відмінний
except,окрім
exception,виключення
exchange,обмін
exchanging,обмін
excited,схвильований
excitement,хвилювання
exciting,захоплюючий
exclude,виключати
excluding,виключення
excuse,вибачення
execute,виконувати
executing,виконання
exercise,вправа
exercising,виконання вправ
exhibit,виставляти
exhibiting,експонування
exhibition,виставка
existing,існуючий
existence,існування
exit,вихід
exiting,вихід
expand,розширювати
expanding,розширення
expansion,розширення
expecting,очікування
expectation,очікування
expense,витрата
expensive,дорогий
experiencing,переживання
experiment,експеримент
experimenting,експериментування
explaining,пояснення
explanation,пояснення
explicit,явний
explore,досліджувати
exploring,дослідження
explosion,вибух
exploding,вибух
expose,виставляти
exposing,викриття
express,висловлювати
expressing,вираження
expression,вираз
extend,розширювати
extending,розширення
extension,розширення
extensive,широкий
extent,ступінь
external,зовнішній
extra,додатковий
extraordinary,надзвичайний
extreme,екстремальний
extremely,вкрай
fabric,тканина
facing,зіткнення
facility,об'єкт
facilities,засоби
factory,фабрика
faculty,факультет
failing,невдача
failure,невдача
fair,справедливий
fairly,досить
faith,віра
falling,падіння
false,помилковий
familiar,знайомий
famous,відомий
fan,вентилятор
fanning,роздмухування
fantasy,фантазія
farm,ферма
farming,землеробство
farmer,фермер
fascinating,захоплюючий
fashion,мода
fat,жир
fate,доля
fault,вина
favor,прихильність
favorite,улюблений
fearing,страх
feature,особливість
featuring,показ
fee,плата
feed,годувати
feeding,годування
fellow,товариш
female,жіноча
fence,паркан
fencing,огорожа
fewer,менше
fielding,виставлення на поле
fifth,п'ятий
fighting,бій
figuring,з'ясування
file,файл
filing,подача
filling,заповнення
filming,зйомка
finance,фінанси
financing,фінансування
finding,знахідка
fines,штрафи
fingertips,кінчики пальців
finishing,закінчення
firing,стрілянина
fishing,рибалка
fit,підходити
fitting,примірка
fitness,фітнес
fix,фіксувати
fixing,ремонт
flag,прапор
flagging,позначення
flame,полум'я
flat,плоский
flavor,смак
flee,втікати
fleeing,втеча
flesh,плоть
flight,політ
float,плавати
floating,плавання
flood,повінь
flooding,затоплення
flooring,підлога
flow,течія
flowing,течія
flower,квітка
flowering,цвітіння
flying,літання
focusing,фокусування
folk,народ
following,наступний
footer,нижній колонтитул
football,футбол
forcing,примушення
forest,ліс
forever,назавжди
forgetting,забування
forming,формування
formal,формальний
formation,формування
formula,формула
forth,вперед
fortune,доля
forwarding,пересилання
found,знайдений
foundation,фундація
founder,засновник
founding,заснування
fourteen,чотирнадцять
fourth,четвертий
frame,рамка
framing,обрамлення
framework,каркас
fraud,шахрайство
freeing,звільнення
freedom,свобода
freeze,заморожувати
freezing,заморожування
French,французький
frequency,частота
frequent,частий
frequently,часто
frequally,часто
fresh,свіжий
friendly,дружній
friendship,дружба
fronting,фасад
fruit,фрукт
frustration,фрустрація
fuel,паливо
fuelling,заправка
fuelled,підживлений
fully,повністю
fun,веселощі
function,функція
functioning,функціонування
funding,фінансування
fundamental,фундаментальний
funeral,похорон
funny,кумедний
furniture,меблі
furthermore,крім того
gain,отримувати
gaining,отримання
gallery,галерея
gaming,ігри
gang,банда
gap,розрив
garage,гараж
gardening,садівництво
garlic,часник
gate,ворота
gather,збирати
gathering,збори
gay,веселий
gear,передача
gearing,підготовка
gender,стать
generally,загалом
generate,генерувати
generating,генерування
genetic,генетичний
gentleman,джентльмен
gently,ніжно
German,німецький
gesture,жест
gesturing,жестикулювання
getting,отримання
ghost,привид
giant,гігант
gift,подарунок
gifting,подарування
girlfriend,подруга
giving,дарування
given,даний
glad,радий
global,глобальний
glove,рукавичка
going,йти
God,Бог
gold,золото
golden,золотий
golf,гольф
golfing,гра в гольф
govern,керувати
governing,управління
governor,губернатор
grab,хапати
grabbing,хапання
grade,оцінка
grading,оцінювання
gradually,поступово
graduate,випускник
graduating,випуск
grain,зерно
grand,великий
grandfather,дідусь
grandmother,бабуся
grant,грант
granting,надання
granular,in a very small details
grass,трава
grave,могила
gray,сірий
greatest,найбільший
greening,озеленення
grocery,продуктовий
grounding,заземлення
grouping,групування
growing,зростання
guarantee,гарантія
guaranteeing,гарантування
guard,охоронець
guarding,охорона
guessing,здогадка
guest,гість
guide,гід
guiding,керівництво
guilty,винний
habit,звичка
habitat,середовище проживання
halving,розпилювання навпіл
hall,зал
handful,жменя
handle,ручка
handling,обробка
handy,зручний
hanging,висіння
happening,подія
hardly,ледве
harm,шкода
harmful,шкідливий
harming,завдання шкоди
harvesting,collecting
hat,капелюх
hate,ненавидіти
hating,ненависть
having,мати
heading,заголовок
headline,заголовок
headquarters,штаб-квартира
healthy,здоровий
hearing,слух
heating,опалення
heaven,небо
heavily,важко
heel,п'ятка
height,висота
heightening,підвищення
helicopter,гелікоптер
hell,пекло
hello,привіт
helping,допомога
helpful,корисний
heritage,спадщина
hero,герой
hide,ховати
hiding,приховування
highlight,підкреслювати
highlighting,підкреслення
highly,високо
hill,пагорб
hinder,перешкоджати
hindering,перешкоджання
hip,стегно
hire,наймати
hiring,найм
historian,історик
historic,історичний
historical,історичний
hitting,удар
holding,утримання
hole,діра
holiday,свято
holy,святий
homeless,бездомний
honest,чесний
honey,мед
honor,честь
honoring,вшанування
hooked,зачепив
hoping,надія
horizon,горизонт
horror,жах
horse,кінь
host,господар
hosting,хостинг
housing,житло
household,домогосподарство
humor,гумор
hungry,голодний
hunt,полювати
hunting,полювання
hurricane,ураган
hurry,поспішати
hurrying,поспіх
hurt,боліти
hurting,завдавання болі
hypothesis,гіпотеза
I,я
ice,лід
ideal,ідеальний
identification,ідентифікація
identifying,ідентифікація
identity,ідентичність
ideology,ідеологія
ignore,ігнорувати
ignoring,ігнорування
ill,хворий
illegal,незаконний
illness,хвороба
imagination,уява
imagining,уявлення
immediate,негайний
immediately,негайно
immigrant,іммігрант
immigration,імміграція
impacting,впливання
implement,впроваджувати
implementing,впровадження
implication,наслідок
imply,мати на увазі
implying,натяк
import,імпорт
importing,імпорт
importance,важливість
impose,накладати
imposing,накладання
impossible,неможливо
impress,вражати
impressing,вражання
impression,враження
impressive,вражаючий
improving,покращення
improvement,покращення
incentive,стимул
incentivised,стимулюється
incident,інцидент
inciting,підбурювання
income,дохід
incorporate,включати
incorporating,включення
increasing,збільшення
increasingly,все більше
incredible,неймовірний
independence,незалежність
independent,незалежний
index,індекс
indexing,індексація
Indian,індійський
indicating,вказівка
indication,вказівка
indispensable,незамінний
industrial,промисловий
infant,немовля
infection,інфекція
inflation,інфляція
influence,вплив
influencing,вплив
inform,інформувати
informing,інформування
ingredient,інгредієнт
initial,початковий
initially,спочатку
initiative,ініціатива
injury,травма
inner,внутрішній
innocent,невинний
innovation,інновація
input,вхід
inputting,введення
inquiry,запит
insight,розуміння
insist,наполягати
insisting,наполягання
inspire,надихати
inspiring,натхненний
install,встановлювати
installing,встановлення
instance,приклад
institute,інститут
instituting,встановлення
institutional,інституційний
instruction,інструкція
instructor,інструктор
instructing,навчання
instrument,інструмент
insurance,страхування
intellectual,інтелектуальний
intelligence,інтелект
intelligent,розумний
intend,мати намір
intending,намір
intense,інтенсивний
intention,намір
interaction,взаємодія
interacting,взаємодія
interception,перехоплення
interested,зацікавлений
internal,внутрішній
internet,інтернет
interpret,інтерпретувати
interpreting,інтерпретація
interpretation,інтерпретація
interruption,переривання
intervention,втручання
intervening,втручання
interviewing,інтерв'ювання
introduce,представляти
introducing,представлення
introduction,введення
intrusive,нав'язливий
invaluable,безцінний
invasion,вторгнення
invading,вторгнення
invest,інвестувати
investing,інвестування
investigate,досліджувати
investigating,розслідування
investigated,досліджено
investigation,розслідування
investor,інвестор
invite,запрошувати
inviting,запрошення
involving,залучення
involvement,участь
Iraqi,іракський
iron,залізо
Islamic,ісламський
island,острів
Israeli,ізраїльський
issuing,видача
Italian,італійський
jacket,куртка
jail,в'язниця
Japanese,японський
jazz,джаз
jobbing,роботи
joining,приєднання
joint,спільний
joke,жарт
joking,жартування
journal,журнал
journalist,журналіст
journey,подорож
journeying,подорож
joy,радість
judge,суддя
judging,судження
judgment,судження
juice,сік
jump,стрибати
jumping,стрибки
junior,молодший
jury,журі
justice,справедливість
justify,виправдовувати
justifying,виправдання
keeping,збереження
keyboard,клавіатура
kick,ударяти ногою
kicking,удар ногою
killing,вбивство
killer,вбивця
king,король
kiss,поцілунок
kissing,цілування
knee,коліно
knife,ніж
knock,стукати
knocking,стукання
knowing,знання
known,відомий
lab,лабораторія
label,етикетка
labeling,маркування
labor,праця
laboring,праця
laboratory,лабораторія
lack,брак
lacking,нестача
lady,леді
lake,озеро
landing,посадка
landscape,пейзаж
landscaping,ландшафтний дизайн
lap,коліна
largely,значною мірою
lasting,тривалий
latency,затримка
Latin,латинський
latter,останній
laughing,сміх
launch,запускати
launching,запуск
lawn,газон
laying,укладання
lay person,мирянин
layer,шар
layering,нашарування
leading,провідний
leadership,лідерство
leaf,лист
league,ліга
leak,витік
leaking,витік
lean,худий
leaning,нахил
learning,навчання
leather,шкіра
leaving,залишення
legend,легенда
legislation,законодавство
legitimate,законний
lemon,лимон
length,довжина
lengthening,подовження
lesson,урок
letting,дозвіл
leveling,вирівнювання
liberal,ліберальний
library,бібліотека
license,ліцензія
licensing,ліцензування
lying,брехня
lifestyle,спосіб життя
lifetime,життя
lift,підіймати
lifting,підіймання
lighting,освітлення
liking,подобання
likely,ймовірно
limit,обмеження
limiting,обмеження
limited,обмежений
lining,підкладка
link,посилання
linking,зв'язування
lion,лев
lip,губа
listing,перелік
listening,слухання
literally,буквально
literary,літературний
literature,література
living,життя
load,навантаження
loading,завантаження
loan,позика
loaning,позичання
lobby,лобі
lobbying,лобіювання
locate,розміщувати
locating,розміщення
location,розташування
lock,замок
locking,блокування
looking,погляд
loose,вільний
loosening,ослаблення
lord,лорд
losing,втрата
lost,загублений
loud,голосний
loving,любов
lovely,прекрасний
lover,коханець
lower,нижній
lowering,зниження
luck,удача
lucky,щасливий
lunch,обід
lung,легеня
mad,божевільний
magic,магія
magical,магічний
mail,пошта
mailing,розсилка
mainly,головним чином
maintaining,підтримка
maintenance,технічне обслуговування
majority,більшість
making,виготовлення
maker,виробник
makeup,макіяж
male,чоловіча
mall,торговий центр
managing,управління
manner,манера
manufacturer,виробник
manufacturing,виробництво
map,карта
mapping,картографування
margin,запас
mark,позначка
marking,маркування
marketing,маркетинг
married,одружений
marry,одружуватися
marrying,одруження
mask,маска
masking,маскування
mass,маса
massive,масивний
master,майстер
mastering,майстерність
match,матч
matching,збіг
math,математика
mattering,важливість
maximum,максимум
mayor,мер
meal,їжа
meaning,значення
meaningful,значущий
meanwhile,тим часом
measuring,вимірювання
measurement,вимірювання
meat,м'ясо
mechanism,механізм
medication,ліки
medicine,медицина
medium,середній
membership,членство
mental,психічний
mentioning,згадка
menu,меню
mere,простий
merely,просто
mess,безлад
messing,безлад
messaging,повідомлення
metal,метал
meter,метр
milk,молоко
milking,доїння
minding,турбування
mindfulness,уважність
mine,мій
mining,добувна промисловість
mineral,мінерал
minimum,мінімум
minister,міністр
ministering,служіння
minor,неповнолітній
minority,меншість
miracle,диво
mirror,дзеркало
mirroring,дзеркальне відображення
missing,відсутній
missile,ракета
mistake,помилка
mistaking,помилка
misuse,неправильне використання
misusing,неправильне використання
mix,змішувати
mixing,змішування
mixture,суміш
mobile,мобільний
mode,режим
modeling,моделювання
moderate,помірний
moderating,модерування
modernizing,модернізація
modest,скромний
mom,мама
monitor,монітор
monitoring,моніторинг
mood,настрій
moon,місяць
moral,моральний
mortgage,іпотека
mostly,здебільшого
mothering,материнство
motion,рух
motivate,мотивувати
motivating,мотивація
motivation,мотивація
motor,двигун
mount,гора
mounting,монтаж
mountain,гора
mouse,миша
mouth,рот
moving,рух
multiple,кратний
murder,вбивство
murdering,вбивство
muscle,м'яз
museum,музей
musical,музичний
musician,музикант
Muslim,мусульманський
mutual,взаємний
mystery,таємниця
myth,міф
naked,голий
naming,найменування
narrative,наративний
narrow,вузький
narrowing,звуження
native,рідний
naturally,природно
navy,флот
nearing,наближення
nearby,поблизу
necessarily,обов'язково
neck,шия
needing,потреба
negative,негативний
negotiate,вести переговори
negotiating,переговори
negotiation,переговори
neighbor,сусід
neighborhood,сусідство
neither,ні
nerve,нерв
nervous,нервовий
net,сітка
netting,сітка
networking,мережа
neutral,нейтральний
nevertheless,тим не менш
newly,нещодавно
nineteen,дев'ятнадцять
ninety,дев'яносто
nobody,ніхто
nod,кивати
nodding,кивання
noise,шум
nomination,номінація
nominating,номінація
nonetheless,тим не менш
noon,полудень
normal,нормальний
normally,зазвичай
northern,північний
nose,ніс
noting,відзначення
noticing,помічання
notion,поняття
novel,роман
nowhere,ніде
nuclear,ядерний
numbering,нумерування
numerous,численний
nurse,медсестра
nursing,догляд
nut,горіх
object,об'єкт
objecting,заперечення
objective,мета
obligation,зобов'язання
observation,спостереження
observe,спостерігати
observing,спостереження
obscured,затемнений
obtain,отримувати
obtaining,отримання
obvious,очевидний
obviously,очевидно
occasion,нагода
occasionally,іноді
occupy,займати
occupying,зайняття
occurring,виникнення
ocean,океан
odd,дивний
offense,образа
offensive,образливий
offering,пропозиція
oiling,змащення
Olympic,олімпійський
ongoing,триваючий
onion,цибуля
online,онлайн
opening,відкриття
operate,діяти
operating,операційний
operator,оператор
opinion,думка
opponent,суперник
oppose,протистояти
opposing,протистояння
opposite,протилежний
opposition,опозиція
opt out,відмовитися
orange,помаранчевий
ordering,замовлення
ordinary,звичайний
organ,орган
organic,органічний
organize,організовувати
organizing,організація
orientation,орієнтація
origin,походження
original,оригінальний
originally,спочатку
otherwise,інакше
ought,повинен
ourselves,ми самі
outcome,результат
outdated,застарілий
outstanding,видатний
overall,загальний
overcome,подолати
overcoming,подолання
overlook,не помічати
overlooking,не помічання
overwhelmed,переповнений
overwhelming,переповнення
owe,боргувати
owing,заборгованість
owning,володіння
pace,темп
pacing,ритм
pack,пакувати
packing,упаковка
package,пакет
packaging,упаковка
paging,пейджинг
painful,болючий
paint,фарба
pair,пара
pairing,спаровування
pale,блідий
pan,сковорода
panning,панорамування
panel,панель
paneling,панелі
parenting,виховання
park,парк
parking,паркування
participate,брати участь
participating,участь
participation,участь
partly,частково
partnering,партнерство
partnership,партнерство
passing,проходження
passenger,пасажир
passion,пристрасть
patch,латка
patching,латання
path,шлях
pathing,прокладання шляху
patterning,створення зразків
pause,пауза
pausing,пауза
paying,плата
payment,платіж
peak,пік
peaking,піковий
pen,ручка
penalty,покарання
pepper,перець
perceive,сприймати
perceiving,сприйняття
perceived,сприймається
percentage,відсоток
perception,сприйняття
perfect,досконалий
perfectly,ідеально
performing,виконання
performer,виконавець
permanent,постійний
permission,дозвіл
permit,дозвіл
permitting,дозвіл
personality,особистість
personally,особисто
personnel,персонал
perspective,перспектива
phase,фаза
phasing,поетапність
phenomenon,феномен
philosophy,філософія
phoning,телефонування
photo,фото
photograph,фотографія
photographer,фотограф
photographing,фотографування
phrase,фраза
phrasing,формулювання
physically,фізично
physician,лікар
piano,піаніно
picking,збирання
pile,купа
piling,накопичення
pilot,пілот
piloting,пілотування
pine,сосна
pink,рожевий
pipe,труба
piping,трубопровід
pitch,подача
pitching,подача
pity,жалість
pizza,піца
placing,розміщення
planning,планування
plane,літак
planet,планета
planting,посадка
plastic,пластик
plate,тарілка
plating,покриття
platform,платформа
playing,гра
pleasing,приємний
plenty,багато
plot,ділянка
plotting,планування
plug in,підключити
plugging,підключення
plus,плюс
pocket,кишеня
poem,вірш
poet,поет
poetry,поезія
pointing,вказування
pole,полюс
policing,поліцейська діяльність
politically,політично
politician,політик
poll,опитування
polling,опитування
pollution,забруднення
polluting,забруднення
pool,басейн
pooling,об'єднання
pop,популярний
popping,спливання
port,порт
porting,портування
portion,частина
portioning,поділ на частини
portrait,портрет
portray,зображувати
portraying,зображення
pose,поза
posing,позування
positioning,позиціонування
possess,володіти
possessing,володіння
possession,володіння
possibility,можливість
possibly,можливо
post,пост
posting,публікація
postponed,відкладено
postponing,відкладення
pot,горщик
potato,картопля
potential,потенційний
potentially,потенційно
pound,фунт
pounding,стукання
pour,лити
pouring,лиття
poverty,бідність
powder,порошок
powdering,пудрення
powering,живлення
powerful,могутній
practical,практичний
practicing,практикування
pray,молитися
praying,молитва
prayer,молитва
precisely,точно
predict,передбачати
predicting,передбачення
prefer,віддавати перевагу
preferring,надання переваги
preference,перевага
pregnancy,вагітність
pregnant,вагітна
preliminary,попередній
premiere,прем'єра
premium,преміум
preparation,підготовка
preparing,підготовка
prescription,рецепт
prescribing,призначення
presence,присутність
presenting,презентація
presentation,презентація
preserve,зберігати
preserving,збереження
presidential,президентський
press,натискати
pressing,натискання
pressuring,тиск
pretend,прикидатися
pretending,удавання
preventing,запобігання
previous,попередній
previously,раніше
pricing,ціноутворення
pride,гордість
priest,священик
primarily,в основному
primary,первинний
prime,прайм
principal,директор
principle,принцип
print,друкувати
printing,друк
prior,попередній
priority,пріоритет
prison,в'язниця
prisoner,в'язень
privacy,конфіденційність
procedure,процедура
proceed,продовжувати
proceeding,продовження
processing,обробка
producing,виробництво
producer,виробник
productive,продуктивний
profession,професія
profile,профіль
profiling,профілювання
profit,прибуток
profiting,отримання прибутку
programming,програмування
projecting,проектування
prominent,видатний
promise,обіцянка
promising,перспективний
promote,сприяти
promoting,просування
prompt,підказка
prompting,підказка
profound,глибокий
proof,доказ
proper,правильний
properly,правильно
proportion,пропорція
proportioning,пропорціонування
proposal,пропозиція
propose,пропонувати
proposing,пропозиція
prosecutor,прокурор
prosecuting,переслідування
prospect,перспектива
prospecting,розвідка
protecting,захист
protection,захист
protracted,затяжний
protein,білок
protest,протест
protesting,протест
proud,гордий
proving,доведення
providing,надання
provider,постачальник
province,провінція
provision,положення
providing,забезпечення
psychological,психологічний
psychologist,психолог
psychology,психологія
publication,публікація
publicity,публічність
publicly,публічно
publish,публікувати
publishing,видавництво
publisher,видавець
pulling,тягнення
punishment,покарання
punishing,покарання
purchase,покупка
purchasing,закупівлі
pure,чистий
purple,фіолетовий
pursue,переслідувати
pursuing,переслідування
pushing,штовхання
putting,розміщення
qualify,кваліфікувати
qualifying,кваліфікація
quarter,чверть
quartering,розквартирування
quarterback,квотербек
questioning,опитування
quick,швидкий
quiet,тихий
quietly,тихо
quit,залишити
quitting,кидання
quote,цитата
quoting,цитування
racing,гонки
racial,расовий
radical,радикальний
rail,рейка
railing,перила
rain,дощ
raining,дощ
raising,підвищення
ranging,варіювання
rank,ранг
ranking,рейтинг
rapid,швидкий
rapidly,швидко
rare,рідкісний
rarely,рідко
rating,рейтинг
ratio,відношення
raw,сирий
reaching,досягнення
react,реагувати
reacting,реакція
reaction,реакція
reading,читання
reader,читач
realizing,усвідомлення
reasoning,міркування
reasonable,розумний
recall,пригадувати
recalling,згадування
receiving,отримання
recognition,визнання
recognizing,визнання
recommend,рекомендувати
recommending,рекомендація
recommendation,рекомендація
recording,запис
recover,відновлюватися
recovering,відновлення
recovery,відновлення
recruit,рекрут
recruiting,набір
redial,передзвонити
reducing,зменшення
reduction,зменшення
refer,посилатися
referring,посилання
reference,посилання
referencing,посилання
reflecting,відображення
reflection,відображення
reform,реформа
reforming,реформування
refugee,біженець
refuse,відмовлятися
refusing,відмова
regard,відношення
regarding,щодо
regardless,незалежно
regional,регіональний
register,реєструвати
registering,реєстрація
regular,регулярний
regularly,регулярно
regulation,регулювання
regulating,регулювання
reject,відхиляти
rejecting,відхилення
relating,відношення
relation,відносини
relative,родич
relatively,відносно
relax,розслаблятися
relaxing,розслаблення
release,випуск
releasing,випуск
relevant,актуальний
reliable,надійний
relief,полегшення
religion,релігія
reluctant,неохочий
rely,покладатися
relying,покладання
remaining,що залишається
remarkable,чудовий
remembering,пам'ять
remind,нагадувати
reminding,нагадування
removal,видалення
removing,видалення
repeat,повторювати
repeating,повторення
repeatedly,неодноразово
replace,заміщати
replacing,заміна
reply,відповідь
replying,відповідь
reporting,звітність
reporter,репортер
representing,представництво
representation,представництво
representative,представник
Republican,республіканський
reputation,репутація
request,запит
requesting,запит
requiring,вимога
requirement,вимога
rescue,рятувати
rescuing,рятування
rescued,врятував
researching,дослідження
researcher,дослідник
resemble,нагадувати
resembling,схожість
reservation,бронювання
reserve,резерв
reserving,резервування
resident,мешканець
resist,опиратися
resisting,опір
resistance,опір
resolution,резолюція
resolve,вирішувати
resolving,вирішення
resourcing,ресурсне забезпечення
respect,повага
respecting,повага
responding,відповідь
responsible,відповідальний
resting,відпочинок
restaurant,ресторан
restore,відновлювати
restoring,відновлення
restriction,обмеження
restricting,обмеження
resulting,результуючий
retain,зберігати
retaining,збереження
retire,виходити на пенсію
retiring,вихід на пенсію
retirement,пенсія
returning,повернення
revealing,розкриття
revenue,дохід
review,огляд
reviewing,огляд
revolution,революція
revolve,обертатися
revolving,обертання
reward,винагорода
rewarding,винагородження
rhetoric,риторика
rice,рис
rid,позбавлятися
ridding,позбавлення
ride,їздити
riding,їзда
ring,кільце
ringing,дзвін
riot,бунт
rioting,заворушення
rising,зростаючий
risking,ризик
ritual,ритуал
rival,суперник
rivaling,суперництво
river,річка
rob,грабувати
robbing,пограбування
rocking,хитання
roll,котити
rolling,прокат
romantic,романтичний
roof,дах
roofing,покрівля
rooming,проживання
root,корінь
rooting,укорінення
rope,мотузка
rose,троянда
round,круглий
rounding,округлення
route,маршрут
routing,маршрутизація
routine,рутина
row,ряд
rowing,веслування
royal,королівський
rub,терти
rubbing,терти
ruling,правління
ruler,правитель
rumor,чутка
running,біг
runner,бігун
rural,сільський
Russian,російський
sacred,священний
sad,сумний
safely,безпечно
safety,безпека
sake,заради
salad,салат
salary,зарплата
sale,продаж
sales,продажі
salt,сіль
salting,соління
sample,зразок
sampling,вибірка
sanction,санкція
sanctioning,санкціонування
sand,пісок
sanding,шліфування
satellite,супутник
satisfaction,задоволення
satisfy,задовольняти
satisfying,задовольняючий
sauce,соус
saving,збереження
savvy on something,підкований у чомусь
saying,говорення
scale,масштаб
scaling,масштабування
scandal,скандал
scared,наляканий
scaring,лякання
scenario,сценарій
schedule,розклад
scheduling,планування
scheme,схема
scheming,інтриги
scholar,вчений
scholarship,стипендія
schooling,навчання
scientific,науковий
scope,обсяг
scoping,визначення обсягу
scoring,підрахунок балів
scream,кричати
screaming,крик
screen,екран
screening,показ
script,сценарій
scripting,написання сценарію
scrutiny,перевірка
search,пошук
searching,пошук
seasoning,приправлення
seating,місця
secondary,вторинний
secret,секрет
secretary,секретар
sectioning,розділення
sector,сектор
secure,безпечний
securing,забезпечення
seeing,бачення
seed,насіння
seeding,посів
seeking,пошук
seeming,видимий
select,вибирати
selecting,вибір
selection,вибір
self,сам
selling,продаж
senate,сенат
senator,сенатор
sending,відправка
sensing,відчуття
sensitive,чутливий
sentence,речення
sentencing,вирок
separate,окремий
separating,розділення
sequence,послідовність
sequencing,секвенсування
seriously,серйозно
serving,обслуговування
session,сесія
setting,налаштування
settlement,поселення
settling,врегулювання
seventh,сьомий
severe,серйозний
shade,тінь
shading,затінення
shadow,тінь
shadowing,слідування
shady,тіньовий
shaking,тремтіння
shall,повинен
shame,сором
shaming,соромлення
shape,форма
shaping,формування
sharing,поділ
sharp,гострий
sharpening,заточування
sheet,аркуш
shelf,полиця
shell,оболонка
shelling,обстріл
shelter,укриття
sheltering,укриття
shift,зміна
shifting,зсув
shine,світити
shining,сяйво
ship,корабель
shipping,доставка
shirt,сорочка
shock,шок
shocking,шокуючий
shoe,взуття
shooting,стрілянина
shop,магазин
shopping,покупки
shore,берег
shortening,скорочення
shoulder,плече
shouldering,взяття на себе
shout,кричати
shouting,крик
showing,показ
shower,душ
showering,душ
shut,закривати
shutting,закриття
sick,хворий
siding,сайдинг
sight,зір
sighting,спостереження
sign,знак
signing,підписання
signal,сигнал
signaling,сигналізування
significantly,значно
silence,тиша
silencing,заглушування
silent,тихий
silly,дурний
silver,срібло
similarly,подібно
sin,гріх
singing,спів
singer,співак
sink,раковина
sinking,потоплення
sir,сер
sitting,сидіння
sixteen,шістнадцять
sixth,шостий
sixty,шістдесят
sizing,розмір
ski,лижа
skiing,катання на лижах
skilled,кваліфікований
skip,пропускати
skipping,пропуск
sky,небо
slave,раб
sleep,спати
sleeping,сон
slice,скибочка
slicing,нарізка
slide,ковзати
sliding,ковзання
slight,незначний
slightly,трохи
slip,ковзати
slipping,ковзання
slow,повільний
slowing,уповільнення
slowly,повільно
smart,розумний
smell,запах
smelling,нюхання
smiling,усмішка
smoke,дим
smoking,куріння
smooth,гладкий
smoothing,згладжування
snap,клацати
snapping,клацання
snow,сніг
snowing,сніг
soap,мило
soccer,футбол
socially,соціально
sock,шкарпетка
soft,м'який
softening,пом'якшення
software,програмне забезпечення
soil,ґрунт
solar,сонячний
sold,продали
sole,підошва
solid,твердий
solution,рішення
solve,вирішувати
solving,вирішення
somehow,якось
somewhat,дещо
somewhere,десь
sophisticated,витончений
sorry,вибачте
sorting,сортування
soul,душа
sounding,звучання
soup,суп
sourcing,джерелознавство
Soviet,радянський
spacing,інтервал
Spanish,іспанський
speaking,розмова
speaker,спікер
specialist,спеціаліст
species,вид
specifically,конкретно
speed,швидкість
speeding,прискорення
spending,витрати
spin,крутити
spinning,обертання
spied on,шпигували
spirit,дух
spiritual,духовний
split,розділяти
splitting,розділення
spokesman,речник
sponsor,спонсор
sponsoring,спонсорство
sporting,спортивний
spot,плями
spotting,помічання
spread,поширювати
spreading,поширення
springing,пружинність
square,квадрат
squaring,узгодження
squeeze,стискати
squeezing,стискання
stable,стабільний
staffing,комплектація персоналом
staging,постановка
stain,пляма
staining,забарвлення
stair,сходинка
stake,ставка
staking,постановка на карту
standing,стояння
standardizing,стандартизація
starring,головна роль
stare,дивитися
staring,пильний погляд
starting,початок
stating,заявлення
stationing,розміщення
statistics,статистика
status,статус
staying,перебування
steady,стійкий
steal,красти
stealing,крадіжка
steel,сталь
stepping,крокування
stick,палиця
sticking,прилипання
stimulus,стимул
stimulating,стимулюючий
stir,перемішувати
stirring,перемішування
stocking,наповнення
stomach,шлунок
stone,камінь
stoning,кидання камінням
stopping,зупинка
storage,зберігання
storing,зберігання
storm,буря
storming,штурм
storytelling,розповідь
straight,прямий
straightening,випрямлення
strain,напруження
straining,напруження
strand,нитка
stranding,висадка
strange,дивний
stranger,незнайомець
strategic,стратегічний
stream,потік
streaming,потокове передавання
strength,сила
strengthen,зміцнювати
strengthening,зміцнення
stress,стрес
stressing,підкреслення
stretch,розтягувати
stretching,розтягування
strike,страйк
striking,разючий
string,струна
stringing,натягування струн
strip,смужка
stripping,знімання
stroke,удар
strongly,сильно
structuring,структурування
struggle,боротьба
struggling,боротьба
